"","logFC_1_s","logFC_2_s","logFC_3_s","logFC_5_s","logFC_6_s","logFC_7_s","logFC_8_s","logFC_9_s","logFC_10_s","logFC_11_s","logFC_12_s","logFC_13_s","logFC_14_s","logFC_15_s","logFC_16_s","logFC_17_s","logFC_18_s"
"Adgf-A",0,-0.235351789718894,-0.217546092430268,-0.360177798294439,-0.306511896295015,-0.081515358248307,-0.0187416417033557,0.240231737690555,0.107265240718196,0.0207476504286399,0.0456646833615801,0.450753507730325,0.672252838822494,0.610212175574247,0.48604815439402,0.54467787203325,0.616242549311914
"Adh",0,-0.897511133489008,-0.591333648259813,-1.29812363528309,-1.21519775856336,-1.20352430411455,-0.507801804281064,-0.36582112097639,-0.617579744496239,-1.26909186645861,-0.950609888955313,-0.474250219392719,0.0921739578875966,-0.0259045273695011,-0.0439070240084689,-0.356459580542996,0.339933554841749
"Adk3",0,-0.00384543219364364,-0.106955183152317,-0.0516853634443732,-0.129559470785168,-0.0336017119748604,-0.0341194541501091,-0.290020886775495,-0.264350908478191,-0.32294743927767,-0.0810771256013307,-0.142748142878308,-0.250861477019133,-0.244813872084083,-0.26413824807116,-0.307550480799447,-0.251041613539427
"AdSL",0,0.0502107640957048,0.286851713734443,0.235141926030867,0.250447873838831,0.468567994874147,0.705177174053565,0.68875411688559,0.527550470102049,0.294975425419362,0.291788237474575,0.431203738481439,0.505925394084368,0.70422267133883,0.588628455876333,0.596730750176243,0.888486310373158
"Ady43A",0,0.467933844623322,1.03626516291974,0.569531594156243,0.379907897302457,0.442248470045438,0.52006765290049,0.284337430622498,0.18068390466921,0.0698314174488113,-0.0504368785319853,0.0436049979572228,0.350975974251448,0.361231478792311,0.258019722633039,-0.0511099616703063,0.246461555283841
"Ag5r2",0,-0.364644204468466,0.353602010289887,0.697646788417956,1.02024121793366,0.656438000442011,0.540113244748368,0.607140171838139,0.510418746611879,0.472981657783882,0.12838135360417,-0.15158899689319,0.221749992799908,0.371971151204216,0.520307083871752,0.251250100060458,0.191901900200791
"AGBE",0,-0.134701716044804,-0.292452114016781,-0.863820428603758,-0.948763037980121,-1.15360089469109,-1.12816352588258,-0.601225420263681,-0.309429981931896,-0.44641217791867,-0.0628111675611986,0.0604260982354505,0.138421647044231,0.0153472200124085,-0.0875250341488956,0.48828976733968,0.115398634473684
"AGO1",0,-0.00551472750855542,0.0804567525611537,-0.187956014867644,-0.222943441020384,0.02811844263758,-0.151452552248415,0.0452591346599425,0.0881414046708198,0.103709951907593,-0.0208438935914179,0.0363222938858678,0.163591418128128,0.162156328578011,0.189170083457388,0.173895933192181,0.257210595854922
"AGO2",0,0.219039894967862,0.348536068485204,0.0639711366626656,-0.467069804702258,0.250057040320419,0.0245848103069246,0.366352492127044,0.454645395519604,0.374815615616251,0.102145175180903,0.323280535012,0.343140377180616,0.336955571107298,0.407608000289176,0.210151100094512,0.408878508507648
"Ahcy",0,0.133125408972062,0.19391203044873,0.0824407990357248,0.454054464010822,0.377492157162577,0.510062886249234,0.743820911804042,0.663497921400213,0.394539676470695,0.390912826723848,0.440034479804665,0.327839385742634,0.643459384274959,0.524204630259798,0.272013256627718,0.540911205115194
